mode,GUID,macro_f1
season,0038122E-08A2-4C4E-9495-B56A95BF24F5,0.0
season,004511DD-7CF3-4A53-9E70-18B3D55C6E93,1.0
season,004E3811-FDA6-4853-ABDB-3E7629C3F93B,0.4
season,005F1F32-EACF-4790-90D6-A0D4B71F72CB,0.0
season,009033FE-63A0-4188-B870-8402275A6809,1.0
season,0096D17B-69AB-4102-AB37-2449D6BB05AD,1.0
season,00A3271B-9968-438A-9516-75B8A2B6C538,0.42857142857142855
season,00D85CA5-7E92-4984-BA49-11C7617D1D33,1.0
season,011EDD33-4E9F-47CC-AF5B-3A19F643B9FC,1.0
season,011FFC65-548F-41D6-8747-640D917F7301,0.0
season,01322DC0-84CB-4FDB-9559-EC70BC81E95C,1.0
season,013BBA9E-09A7-4549-AA20-A1C891D9F922,0.0
season,013EB010-17C2-459A-A9C3-9CB066136D75,0.8
season,01527035-7486-43E8-A868-7B073E7D5BDE,0.0
season,015F32B1-7DBC-47EA-8287-3D999FB9E463,0.0
season,016271CF-CA54-49F5-82CE-8AAB1EC534F5,1.0
season,0182C76E-C4EB-4C98-B231-7B2E3D1C80B2,0.0
season,019C08F5-FF09-41C3-8BE6-2D226007226F,1.0
season,019FFBFC-CDCE-45AB-80B1-9C9F68AABEA1,1.0
season,01AD5605-9B38-415C-AAE2-01B20C994C86,1.0
season,01F81EA6-56AE-476B-8054-CFBBAFC852A7,0.0
season,0202D1CC-0D76-4903-875E-2B0A8F6319EB,1.0
season,0220C475-5DD1-468E-95B9-48C65A30FD59,0.0
season,0234DF91-C1F2-4133-BD55-5B3E37095574,1.0
season,025A50D9-247A-4AF1-A1AA-81EB5EA1D4FC,1.0
season,0263F524-2710-4CF5-BC84-811D99C08D1A,1.0
season,027C1896-B8DD-41BD-B93B-B4272A8D4804,1.0
season,028A9AF9-31DA-49D7-81B2-3E2D2677FBE2,0.0
season,02AC1CD8-067A-4F2F-AE1B-546445C489AD,1.0
season,02B1CDFF-53D5-4DA1-A175-3F6CEC33E1CD,1.0
season,03088B77-9B29-4D72-B0C7-4FE5182AC68A,1.0
season,030B8B4D-CB9D-4F53-8ED0-6B4CBCA19E2F,1.0
season,03194498-6E16-4581-A22C-CCA3DC5D0AEA,1.0
season,03299EBC-FF9E-413F-9C53-C9B7A36496E4,1.0
season,036A4776-C38A-4032-8442-AEA290821769,0.0
season,0449B8AA-018F-41BE-B916-352A72AE9E8C,1.0
season,046C8783-F21E-46C3-8463-A64BFDED6CC2,1.0
season,0478CA8B-FA5D-4A4B-A101-3C539ADDE33B,0.0
season,04B95CD2-9D19-4772-8893-4A1DE19929A0,1.0
season,053DFB98-2DE5-4120-A684-745F9E580A18,1.0
season,0561F7B4-6294-436E-B2EF-FF649317E8F5,0.3333333333333333
season,05774107-5746-4D76-B407-AD66A4B84840,0.0
season,059DF392-4069-4FF2-B2ED-D681F7C758DA,0.0
season,05B7904B-EC6D-482A-91D4-A2964F7F0594,1.0
season,05F407F8-2261-409B-8C73-96AD13E62E75,0.2857142857142857
season,0608A733-3E03-4334-BBD6-949D5BA2F72E,1.0
season,063A5B24-E383-4920-B1EF-6D3FE4FFC7B1,0.0
season,065811C9-AEDB-4819-ABF9-9BCBE4951EAC,1.0
season,06AE3019-BFE2-4933-82FE-3E80DAD72634,0.3333333333333333
season,06BF8836-F342-408C-A4B0-1637529382FC,1.0
season,06CD92DE-56DA-4C83-A9DD-B3A0A408ADA1,1.0
season,074F1E6D-0108-42AF-B016-2A9061EF8DCF,0.0
season,079A5834-C4B0-440B-A05B-14E16D447333,1.0
season,079B98CF-CDDE-4861-B61C-6C11EB5ACE41,0.4166666666666667
season,079D6A34-C26D-4EAA-8583-5EE888843DDA,1.0
season,07D93292-9388-4D9F-9987-E47DDA3DC43A,1.0
season,07FBBE69-8E21-4706-9FE4-685FB4B0BE2F,0.0
season,08189880-D3C2-47B3-90A1-367F952B5C79,1.0
season,081CB48A-80FA-4D06-871A-DD81EE5F36D5,0.3333333333333333
season,0835DED3-1499-4C43-9341-90F3B277E0EA,1.0
season,0840B6A3-D2FA-4FC1-9966-2A62727D0D47,1.0
season,0844E6EF-8155-40B5-B135-9EFBE2119206,0.0
season,085C9E60-6EF4-4A04-9502-8DEB1CF701C1,1.0
season,087A8C4A-9E5F-48EE-96AF-F363AF302ED4,1.0
season,088D978D-91F5-4362-8587-8F02047594B8,1.0
season,0890B242-A735-4C08-B912-FA5158DD79F8,1.0
season,089E720B-C647-45EF-8CA0-A3E67A3849B5,1.0
season,089FFB3A-8221-4CBE-A6D4-5CF64C644F88,1.0
season,08A4B38F-016A-408A-B4EB-32D09E21EBBF,1.0
season,08AC906B-4BAB-42F1-BEAF-B814D55DD3E1,1.0
season,08AFDE2F-1184-4B8E-9910-9BC98CCA0AC9,0.42857142857142855
season,08C231F6-12F4-43D7-BB34-7930979191C8,0.3333333333333333
season,08F2609C-E9C5-4036-B189-C9F13B79C235,1.0
season,0900E951-0344-4E01-8D45-B19822344455,1.0
season,0925D791-7325-4BF5-8238-6F08481F960B,0.0
season,092CAF59-D43B-4DE3-B6F1-1487BEC90121,0.0
season,09619E8D-9C82-46B6-9DFD-D4A6EF614B80,1.0
season,0965F441-3796-4112-9CB8-DB9170DC19D8,1.0
season,096F4FA2-D13C-4CF2-B7E0-71345EC99D19,0.0
season,0980876E-D47F-4ED9-AFD2-38E3B2572A09,0.25
season,0999C231-3E03-4126-BAAC-3C4DCCE98507,1.0
season,09CE5A15-4998-4204-9747-8D035A8E9392,0.0
season,09DB2504-28BA-4859-8805-89B0CCCBE53F,1.0
season,09DD0371-1F4A-415F-9A5E-444CE2E7814A,1.0
season,09E4E3DC-2898-4C18-92BE-531261C1A3C4,0.0
season,09EFAB99-EE43-4E91-9158-ADF02320D02D,0.0
season,0A1EB215-6171-4CEB-B2CD-16F82AB47325,0.0
season,0A20D2BE-7BF3-49C1-9043-B0B3D83A5D6C,1.0
season,0A51B69D-8F6B-49B1-B7ED-E9D10047F01E,0.0
season,0AAEC4CC-5A23-4169-8A04-213F7A611DC4,1.0
season,0AE9D3D1-64AA-4E7B-98C1-EC71D6EABD41,0.16666666666666666
season,0B340A2F-ABFA-4E9A-BEE9-6A330BD6907D,0.16666666666666666
season,0B47645F-6459-4DFE-A336-A6F31E7B1C52,0.3333333333333333
season,0B59F382-2DFA-481D-997F-A8332EF20C0E,0.0
season,0BA9CD05-508E-4AE7-A0D2-9CA78F72876B,1.0
season,0BB29903-765F-481B-8E32-5E61135A0114,0.0
season,0BB5D7F7-3698-4F8C-B77C-7965FA4B6920,1.0
season,0BBEA635-8733-4854-A1B6-B7D31C012E67,1.0
season,0BC646E4-0050-4989-AEE8-A4A4AE1D1ADA,0.7878787878787878
season,0BCF66FD-6510-4AD6-B416-88CDF9FCF077,1.0
season,0BF67694-49C1-4C23-B0AB-A2113CBDE5E0,0.0
season,0C17810B-A691-4DDB-B28A-5E1575A1CD17,0.0
season,0C2F2509-154C-4087-A658-B91EDD96B415,1.0
season,0C337C89-343F-43F6-AD73-6578F10E3BAA,0.35714285714285715
season,0C37AA33-030A-4EC6-8559-B0571E1CB326,0.0
season,0C3A47BB-019B-453A-BC10-E6E5DB71298E,0.0
season,0C42404D-C700-4FA1-BA23-7F487C76BD57,0.0
season,0C45A12A-5C1F-4FF7-895D-139600B356E4,1.0
season,0C4696BC-5ABB-49CF-B219-66C3F79FF9BE,0.16666666666666666
season,0C5DC8A0-AE49-44E7-80AA-937B879212DD,0.0
season,0C86DD42-069C-47E7-8C73-6686DE73DE8A,1.0
season,0C998F0F-5B52-4C26-B014-5B904696AE93,0.0
season,0CA1EBC5-A4E3-4960-85EB-C1C6E0178215,1.0
season,0CB966FD-52D7-45A5-ACE9-2CEFA56BADB4,1.0
season,0CC1CAC5-A2AF-4DC6-8538-AF992C3FED26,0.4857142857142857
season,0CDA6685-80F6-495E-AFAC-40F1D9EC7256,1.0
season,0D16AF15-DF34-45B6-9005-BEBEA68F1DAB,1.0
season,0D2C807E-6B5B-42F0-8E28-D516B3AFBAD4,0.0
season,0D4A33E5-FE33-43EB-B720-7ACB864F56CE,0.0
season,0D5FDBCF-0BFF-4535-A035-91DA551CD473,1.0
season,0D68A152-585B-485B-AF35-117CABE92FED,0.0
season,0D8A4EDB-471C-427C-80BD-88CA648B970A,1.0
season,0D8B9385-8B32-42E7-9473-3E373558057F,1.0
season,0DC192FF-6EAE-444A-A611-2A15C40D3C81,0.4
season,0DDE802F-8CEE-4F45-A46F-E02D6881DE34,1.0
